date,MMM.Close,MMM.High,MMM.Low,MMM.Open,MMM.Volume,MMM.Ret,MMM.Vol,MMM.M18,MMM.S18,MMM.E9,MMM.M36,MMM.S36,MMM.E18,MMMBBU,MMMBBL,MMM.direction,MMM.mom1m,MMM.mom6m,MMM.mom12m,MMM.mom36m,MMM.chmom,MMM.dolvol,MMM.var,MMM.cov,MMM.beta,MMM.betasq,MMM.pricedelay,^GSPC.Close,^GSPC.High,^GSPC.Low,^GSPC.Open,^GSPC.Volume,^GSPC.Ret,^GSPC.Vol,TB3MS,DGS10,AAA,BAA,GS10,T10Y2Y,CPIAUCSL,PCEPILFE,VIXCLS,PAYEMS,UNRATE,GDPC1,INDPRO,NCBEILQ027S,DGS3MO,csp
2001-11-01,24.809289932250977,25.482678701402694,22.388554996937252,22.65487895016954,79606000,0.09323508685246269,0.31130591556770437,22.397573788960774,2.5084980403182637,23.263478098096392,,,22.453353748584203,27.4145698695973,17.380577708324246,2.2085399627685547,0.09771976442156682,-0.023362260818899583,0.17288017575511438,,0.06408547415890764,1974968334.3467712,,,,,,1139.449951171875,1163.3800048828125,1054.31005859375,1059.780029296875,26330000000,0.07248427993671071,0.20020496460829254,1.87,4.65,6.97,7.81,4.65,1.87,177.5,76.81,26.63,131144,5.5,14253.574,88.0476,11967987.0,1.91,0.8399999999999999
2001-12-01,25.727523803710938,26.53062400235272,24.528312981714965,24.898306573875963,64138848,0.03634320688160639,0.2442486960692093,22.85617775387234,2.3011705605983934,23.756287239219304,,,22.798003228071227,27.458518875069128,18.253836632675554,0.9182338714599609,0.037011694972627796,0.04720549831657639,0.0019286668830180709,,-0.17693746055304693,1650133738.6625977,,,,,,1148.0799560546875,1173.6199951171875,1114.530029296875,1139.449951171875,25128570000,0.007545296609037892,0.20054009995888847,1.69,5.09,6.77,8.05,5.09,1.98,177.4,76.828,23.72,130983,5.7,14253.574,88.0476,11967987.0,1.72,1.2800000000000011
2002-01-01,24.158323287963867,25.679644943755072,21.764254623968707,25.47070867766929,153734799,-0.06293241362641068,0.23662506036268288,23.145006285773384,2.100850645511393,23.83669444896822,,,22.941194813323083,27.34670757679617,18.943304994750598,-1.5692005157470703,-0.060993064381918094,0.0028446576090197517,0.024568610255927714,,0.02074928280679278,3713974974.8521442,,,,,,1130.199951171875,1176.969970703125,1081.6600341796875,1148.0799560546875,29746200000,-0.015696378592795636,0.1942453819490302,1.65,5.04,6.55,7.87,5.04,2.01,177.7,76.871,22.25,130859,5.7,14372.785,88.6826,12029129.0,1.68,1.3200000000000003
2002-02-01,25.666587829589844,26.29122208714574,23.505397664241997,24.15832554263222,95454913,0.06056109128075681,0.2434420797013173,23.483089870876736,1.9797528903849695,24.20267312509255,,,23.228078288719583,27.442595651646673,19.523584090106798,1.5082645416259766,0.0624325009499902,0.14508315343751277,0.06826048703248011,,0.04345351202108061,2450001908.2803574,,,,,,1106.72998046875,1130.199951171875,1074.3599853515625,1130.199951171875,26047600000,-0.020984861119793335,0.17341649510298351,1.72,4.91,6.51,7.89,4.91,1.90,178.0,77.018,22.88,130736,5.7,14372.785,88.6826,12029129.0,1.76,1.38
2002-03-01,25.167953491210938,27.069609488726098,24.70621654128537,25.64719634559032,85073873,-0.019618563225670276,0.2287579492515617,23.809125582377117,1.715869452424088,24.395729198316225,,,23.432275678455518,27.240864487225295,20.37738667752894,-0.49863433837890625,-0.019427371557509954,0.1812651314486693,0.13074074378760203,,0.05418256123584053,2141135278.981186,,,,,,1147.3900146484375,1173.93994140625,1106.72998046875,1106.72998046875,26563200000,0.036080106667215,0.16689060329975625,1.79,5.28,6.81,8.11,5.28,1.73,178.5,77.11,18.99,130722,5.7,14372.785,88.6826,12029129.0,1.83,1.2999999999999998
2002-04-01,27.529170989990234,28.032487446979406,24.574928905632543,25.198602256739125,113438210,0.08967470735232028,0.20451821746617496,24.2016265657213,1.7137576090507098,25.02241755665103,,,23.8635278165118,27.629141783822718,20.77411134761988,2.361217498779297,0.09381841473935792,0.218064490212166,0.07979251353461292,,-0.05161001928664888,3122859879.88842,,,,,,1076.9200439453125,1147.8399658203125,1063.4599609375,1147.3900146484375,28568900000,-0.0633846547446828,0.15576966155065733,1.71,5.21,6.76,8.03,5.21,1.79,179.3,77.325,19.90,130615,5.9,14460.848,90.0530,10441256.0,1.75,1.2699999999999996
2002-05-01,27.448196411132812,28.579562929205814,26.91643372041767,27.529164483236574,93218632,-0.002945744448647259,0.20448331766363712,24.551390224032932,1.6972144268190485,25.507573327547387,,,24.2408613527877,27.94581907767103,21.156961370394836,-0.08097457885742188,-0.002941410000572242,0.10636767461253993,0.08052042443664242,,0.0006716854223289825,2558683320.3131104,,,,,,1067.1400146484375,1106.5899658203125,1048.9599609375,1076.9200439453125,26905500000,-0.009122969376784574,0.15467658988478025,1.73,5.16,6.75,8.09,5.16,1.90,179.5,77.411,20.09,130632,5.8,14460.848,90.0530,10441256.0,1.76,1.3399999999999999
2002-06-01,27.048494338989258,28.499876883750918,26.252432863978676,27.527889400517775,83967810,-0.014669119685716442,0.2013296362257354,24.62752882639567,1.7794754469423884,25.815757529835764,,,24.536401667124707,28.18647972028045,21.068577932510895,-0.3997020721435547,-0.014562052316903329,0.05134464340045741,0.1009738911946394,,0.01830708472399356,2271202833.4423256,,,,,,989.8200073242188,1070.739990234375,952.9199829101562,1067.1400146484375,29981510000,-0.07521434960317877,0.16641256110878555,1.70,4.93,6.63,7.95,4.93,1.93,179.6,77.534,25.27,130673,5.8,14460.848,90.0530,10441256.0,1.73,1.3200000000000003
2002-07-01,27.67082405090332,28.607625762558484,23.79387495695433,27.65323225588449,189452383,0.022747233140947246,0.199429387603661,24.854851298862034,1.8952444157652313,26.186770834049277,,,24.866340865417193,28.645340130392498,21.06436246733157,0.6223297119140625,0.023007924364093046,0.1453950558186896,0.14865331257955772,,0.04246401013403056,5242303556.017347,,,,,,911.6199951171875,994.4600219726562,775.6799926757812,989.8200073242188,42228720000,-0.08229988459363803,0.17811641816304805,1.68,4.65,6.53,7.9,4.65,2.10,180.0,77.692,34.05,130583,5.8,14519.633,90.6105,8685213.0,1.71,1.37
2002-08-01,27.47731590270996,28.473493030509353,25.619106405008505,27.543288668672812,129608128,-0.007017786729865063,0.17926111329706146,25.04656187693278,1.9791979609256762,26.444879847781415,,,25.141180343026956,29.004957798784133,21.08816595508143,-0.19350814819335938,-0.006993219567201225,0.0705480636983078,0.2258665526860817,,0.062546180737993,3561283476.614868,,,,,,916.0700073242188,965.0,833.4400024414062,911.6199951171875,29298400000,0.004869557741769553,0.1737163736387026,1.62,4.26,6.37,7.58,4.26,2.12,180.5,77.845,33.74,130582,5.7,14519.633,90.6105,8685213.0,1.65,1.21
